,element,tag,type,id,name,text,value,for
0,label,label,none,none,none,Name:,none,name
1,input,input,text,name,name,,none,none
2,label,label,none,none,none,Address:,none,address
3,input,input,text,address,address,,none,none
4,label,label,none,none,none,Phone Number:,none,phone-number
5,input,input,text,phone-number,phone-number,,none,none
6,label,label,none,none,none,Date of Birth:,none,dob
7,input,input,date,dob,dob,,none,none
8,label,label,none,none,none,Gender:,none,gender
9,select,select,none,gender,gender,"Male
Female
Other",none,none
10,label,label,none,none,none,Father's Name:,none,father-name
11,input,input,text,father-name,father-name,,none,none
12,label,label,none,none,none,Mother's Name:,none,mother-name
13,input,input,text,mother-name,mother-name,,none,none
14,input,input,submit,none,none,,Submit,none
